Node ID,round,period,step,Simulation time (seconds),Chronological time (seconds)
215,4,0,0,10.200000286101,22.5176127
215,4,0,1,10.200000286101,22.5176127
180,4,0,0,10.200000286101,22.5176127
180,4,0,1,10.200000286101,22.5176127
176,4,0,0,10.200000286101,22.5186086
176,4,0,1,10.200000286101,22.5186086
160,4,0,0,10.200000286101,22.5186086
160,4,0,1,10.200000286101,22.5186086
158,4,0,0,10.200000286101,22.5186086
158,4,0,1,10.200000286101,22.5186086
374,4,0,0,10.200000286101,22.5186086
374,4,0,1,10.200000286101,22.5186086
350,4,0,0,10.200000286101,22.5186086
350,4,0,1,10.200000286101,22.5186086
319,4,0,0,10.200000286101,22.5196079
319,4,0,1,10.200000286101,22.5196079
235,4,0,0,10.200000286101,22.5196079
235,4,0,1,10.200000286101,22.5196079
195,4,0,0,10.200000286101,22.5196079
195,4,0,1,10.200000286101,22.5196079
141,4,0,0,10.200000286101,22.5196079
141,4,0,1,10.200000286101,22.5196079
132,4,0,0,10.200000286101,22.5196079
132,4,0,1,10.200000286101,22.5196079
91,4,0,0,10.200000286101,22.5206413
91,4,0,1,10.200000286101,22.5206413
59,4,0,0,10.200000286101,22.5206413
59,4,0,1,10.200000286101,22.5206413
57,4,0,0,10.200000286101,22.5206413
57,4,0,1,10.200000286101,22.5206413
390,4,0,0,10.200000286101,22.5206413
390,4,0,1,10.200000286101,22.5206413
381,4,0,0,10.200000286101,22.5216468
381,4,0,1,10.200000286101,22.5216468
263,4,0,0,10.200000286101,22.5216468
263,4,0,1,10.200000286101,22.5216468
255,4,0,0,10.200000286101,22.5216468
255,4,0,1,10.200000286101,22.5216468
164,4,0,0,10.200000286101,22.5216468
164,4,0,1,10.200000286101,22.5216468
60,4,0,0,10.200000286101,22.5216468
60,4,0,1,10.200000286101,22.5216468
